ID	Symbol	Name	Gene Groups
64708	COPS7B	COP9 signalosome subunit 7B	COP9 signalosome 
10920	COPS8	COP9 signalosome subunit 8	COP9 signalosome 
150678	COPS9	COP9 signalosome subunit 9	
22818	COPZ1	COPI coat complex subunit zeta 1	MicroRNA protein coding host genes, COPI coat complex
51226	COPZ2	COPI coat complex subunit zeta 2	MicroRNA protein coding host genes, COPI coat complex
27235	COQ2	coenzyme Q2, polyprenyltransferase	
51805	COQ3	coenzyme Q3, methyltransferase	7BS small molecule methyltransferases
51117	COQ4	coenzyme Q4	
84274	COQ5	coenzyme Q5, methyltransferase	7BS small molecule methyltransferases
51004	COQ6	coenzyme Q6, monooxygenase	Flavoproteins
10229	COQ7	coenzyme Q7, hydroxylase	
56997	COQ8A	coenzyme Q8A	
79934	COQ8B	coenzyme Q8B	
57017	COQ9	coenzyme Q9	
93058	COQ10A	coenzyme Q10A	
80219	COQ10B	coenzyme Q10B	
10699	CORIN	corin, serine peptidase	Type II transmembrane serine proteases, Scavenger receptor cysteine rich domain containing
11151	CORO1A	coronin 1A	WD repeat domain containing, Coronins
57175	CORO1B	coronin 1B	WD repeat domain containing, Coronins
23603	CORO1C	coronin 1C	WD repeat domain containing, Coronins
7464	CORO2A	coronin 2A	WD repeat domain containing, Coronins
10391	CORO2B	coronin 2B	WD repeat domain containing, Coronins
84940	CORO6	coronin 6	WD repeat domain containing, Coronins
79585	CORO7	coronin 7	WD repeat domain containing, Coronins
1325	CORT	cortistatin	Receptor ligands
23406	COTL1	coactosin like F-actin binding protein 1	
1327	COX4I1	cytochrome c oxidase subunit 4I1	Mitochondrial complex IV: cytochrome c oxidase subunits
84701	COX4I2	cytochrome c oxidase subunit 4I2	Mitochondrial complex IV: cytochrome c oxidase subunits
9377	COX5A	cytochrome c oxidase subunit 5A	Mitochondrial complex IV: cytochrome c oxidase subunits
1329	COX5B	cytochrome c oxidase subunit 5B	Mitochondrial complex IV: cytochrome c oxidase subunits
1337	COX6A1	cytochrome c oxidase subunit 6A1	Mitochondrial complex IV: cytochrome c oxidase subunits
1339	COX6A2	cytochrome c oxidase subunit 6A2	Mitochondrial complex IV: cytochrome c oxidase subunits
1340	COX6B1	cytochrome c oxidase subunit 6B1	Mitochondrial complex IV: cytochrome c oxidase subunits
125965	COX6B2	cytochrome c oxidase subunit 6B2	Mitochondrial complex IV: cytochrome c oxidase subunits
1345	COX6C	cytochrome c oxidase subunit 6C	Mitochondrial complex IV: cytochrome c oxidase subunits
1346	COX7A1	cytochrome c oxidase subunit 7A1	Mitochondrial complex IV: cytochrome c oxidase subunits
1347	COX7A2	cytochrome c oxidase subunit 7A2	Mitochondrial complex IV: cytochrome c oxidase subunits
9167	COX7A2L	cytochrome c oxidase subunit 7A2 like	Mitochondrial respiratory chain complex assembly factors
1349	COX7B	cytochrome c oxidase subunit 7B	Mitochondrial complex IV: cytochrome c oxidase subunits
170712	COX7B2	cytochrome c oxidase subunit 7B2	Mitochondrial complex IV: cytochrome c oxidase subunits
1350	COX7C	cytochrome c oxidase subunit 7C	Mitochondrial complex IV: cytochrome c oxidase subunits, MicroRNA protein coding host genes
1351	COX8A	cytochrome c oxidase subunit 8A	Mitochondrial complex IV: cytochrome c oxidase subunits
341947	COX8C	cytochrome c oxidase subunit 8C	Mitochondrial complex IV: cytochrome c oxidase subunits
1352	COX10	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10	Mitochondrial respiratory chain complex assembly factors
1353	COX11	cytochrome c oxidase copper chaperone COX11	Mitochondrial respiratory chain complex assembly factors
84987	COX14	cytochrome c oxidase assembly factor COX14	Mitochondrial respiratory chain complex assembly factors
1355	COX15	cytochrome c oxidase assembly homolog COX15	Mitochondrial respiratory chain complex assembly factors
51241	COX16	cytochrome c oxidase assembly factor COX16	Mitochondrial respiratory chain complex assembly factors
10063	COX17	cytochrome c oxidase copper chaperone COX17	Mitochondrial respiratory chain complex assembly factors
285521	COX18	cytochrome c oxidase assembly factor COX18	Mitochondrial respiratory chain complex assembly factors
90639	COX19	cytochrome c oxidase assembly factor COX19	Mitochondrial respiratory chain complex assembly factors
116228	COX20	cytochrome c oxidase assembly factor COX20	Mitochondrial respiratory chain complex assembly factors
1356	CP	ceruloplasmin	
1357	CPA1	carboxypeptidase A1	M14 carboxypeptidases
1358	CPA2	carboxypeptidase A2	M14 carboxypeptidases
1359	CPA3	carboxypeptidase A3	M14 carboxypeptidases
51200	CPA4	carboxypeptidase A4	M14 carboxypeptidases
93979	CPA5	carboxypeptidase A5	M14 carboxypeptidases
57094	CPA6	carboxypeptidase A6	M14 carboxypeptidases
27151	CPAMD8	C3 and PZP like alpha-2-macroglobulin domain containing 8	C3 and PZP like, alpha-2-macroglobulin domain containing
1360	CPB1	carboxypeptidase B1	M14 carboxypeptidases
1361	CPB2	carboxypeptidase B2	M14 carboxypeptidases
1362	CPD	carboxypeptidase D	M14 carboxypeptidases
1363	CPE	carboxypeptidase E	MicroRNA protein coding host genes, M14 carboxypeptidases
64506	CPEB1	cytoplasmic polyadenylation element binding protein 1	
132864	CPEB2	cytoplasmic polyadenylation element binding protein 2	RNA binding motif containing
22849	CPEB3	cytoplasmic polyadenylation element binding protein 3	RNA binding motif containing
80315	CPEB4	cytoplasmic polyadenylation element binding protein 4	RNA binding motif containing
79974	CPED1	cadherin like and PC-esterase domain containing 1	
105371346	CPHXL	cytoplasmic polyadenylated homeobox like	
112268164	CPHXL2	cytoplasmic polyadenylated homeobox like 2	
65250	CPLANE1	ciliogenesis and planar polarity effector complex subunit 1	Ciliogenesis and planar polarity effector complex subunits
79363	CPLANE2	ciliogenesis and planar polarity effector complex subunit 2	Ciliogenesis and planar polarity effector complex subunits
10815	CPLX1	complexin 1	
10814	CPLX2	complexin 2	
594855	CPLX3	complexin 3	
339302	CPLX4	complexin 4	
1368	CPM	carboxypeptidase M	M14 carboxypeptidases
1369	CPN1	carboxypeptidase N subunit 1	M14 carboxypeptidases
1370	CPN2	carboxypeptidase N subunit 2	M14 carboxypeptidases
8904	CPNE1	copine 1	Copines
221184	CPNE2	copine 2	Copines
8895	CPNE3	copine 3	Copines
131034	CPNE4	copine 4	Copines, MicroRNA protein coding host genes
57699	CPNE5	copine 5	Copines
9362	CPNE6	copine 6	Copines
27132	CPNE7	copine 7	Copines
144402	CPNE8	copine 8	Copines
151835	CPNE9	copine family member 9	Copines
130749	CPO	carboxypeptidase O	M14 carboxypeptidases
1371	CPOX	coproporphyrinogen oxidase	
55313	CPPED1	calcineurin like phosphoesterase domain containing 1	
10404	CPQ	carboxypeptidase Q	M14 carboxypeptidases
1373	CPS1	carbamoyl-phosphate synthase 1	Glutamine amidotransferase class 1 domain containing
29894	CPSF1	cleavage and polyadenylation specific factor 1	MicroRNA protein coding host genes, Cleavage and polyadenylation specific factor subunits
53981	CPSF2	cleavage and polyadenylation specific factor 2	MBL fold containing DNA/RNA interacting subfamily, Cleavage and polyadenylation specific factor subunits
51692	CPSF3	cleavage and polyadenylation specific factor 3	MBL fold containing DNA/RNA interacting subfamily, Cleavage and polyadenylation specific factor subunits, Endoribonucleases
10898	CPSF4	cleavage and polyadenylation specific factor 4	Cleavage and polyadenylation specific factor subunits
642843	CPSF4L	cleavage and polyadenylation specific factor 4 like	
11052	CPSF6	cleavage and polyadenylation specific factor 6	RNA binding motif containing, Cleavage factor Im complex subunits
79869	CPSF7	cleavage and polyadenylation specific factor 7	RNA binding motif containing, Cleavage factor Im complex subunits
1374	CPT1A	carnitine palmitoyltransferase 1A	
1375	CPT1B	carnitine palmitoyltransferase 1B	
126129	CPT1C	carnitine palmitoyltransferase 1C	
1376	CPT2	carnitine palmitoyltransferase 2	
80772	CPTP	ceramide-1-phosphate transfer protein	
54504	CPVL	carboxypeptidase vitellogenic like	M14 carboxypeptidases
53336	CPXCR1	CPX chromosome region candidate 1	
56265	CPXM1	carboxypeptidase X, M14 family member 1	M14 carboxypeptidases
119587	CPXM2	carboxypeptidase X, M14 family member 2	M14 carboxypeptidases
8532	CPZ	carboxypeptidase Z	M14 carboxypeptidases
1378	CR1	complement C3b/C4b receptor 1 (Knops blood group)	Blood group antigens, Sushi domain containing, Complement system regulators and receptors, CD molecules
1379	CR1L	complement C3b/C4b receptor 1 like	Sushi domain containing
1380	CR2	complement C3d receptor 2	Sushi domain containing, Complement system regulators and receptors, CD molecules
1381	CRABP1	cellular retinoic acid binding protein 1	Fatty acid binding protein family
1382	CRABP2	cellular retinoic acid binding protein 2	Fatty acid binding protein family
57482	CRACD	capping protein inhibiting regulator of actin dynamics	
343990	CRACDL	CRACD like	
84766	CRACR2A	calcium release activated channel regulator 2A	EF-hand domain containing
283229	CRACR2B	calcium release activated channel regulator 2B	EF-hand domain containing
8738	CRADD	CASP2 and RIPK1 domain containing adaptor with death domain	Caspase recruitment domain containing
57585	CRAMP1	cramped chromatin regulator homolog 1	Myb/SANT domain containing
1384	CRAT	carnitine O-acetyltransferase	
23418	CRB1	crumbs cell polarity complex component 1	Crumbs complex
286204	CRB2	crumbs cell polarity complex component 2	Crumbs complex
92359	CRB3	crumbs cell polarity complex component 3	Crumbs complex
51185	CRBN	cereblon	
27297	CRCP	CGRP receptor component	RNA polymerase subunits
54544	CRCT1	cysteine rich C-terminal 1	
1385	CREB1	cAMP responsive element binding protein 1	Basic leucine zipper proteins
10488	CREB3	cAMP responsive element binding protein 3	CREB3 transcription factor family, MicroRNA protein coding host genes
90993	CREB3L1	cAMP responsive element binding protein 3 like 1	CREB3 transcription factor family
64764	CREB3L2	cAMP responsive element binding protein 3 like 2	CREB3 transcription factor family
84699	CREB3L3	cAMP responsive element binding protein 3 like 3	CREB3 transcription factor family
148327	CREB3L4	cAMP responsive element binding protein 3 like 4	CREB3 transcription factor family
9586	CREB5	cAMP responsive element binding protein 5	Basic leucine zipper proteins
1387	CREBBP	CREB binding protein	Bromodomain containing, Lysine acetyltransferases, Zinc fingers ZZ-type
1389	CREBL2	cAMP responsive element binding protein like 2	Basic leucine zipper proteins
153222	CREBRF	CREB3 regulatory factor	Basic leucine zipper proteins
58487	CREBZF	CREB/ATF bZIP transcription factor	Basic leucine zipper proteins
8804	CREG1	cellular repressor of E1A stimulated genes 1	
200407	CREG2	cellular repressor of E1A stimulated genes 2	
78987	CRELD1	cysteine rich with EGF like domains 1	
79174	CRELD2	cysteine rich with EGF like domains 2	
1390	CREM	cAMP responsive element modulator	Basic leucine zipper proteins
1392	CRH	corticotropin releasing hormone	Neuropeptides
1393	CRHBP	corticotropin releasing hormone binding protein	
1394	CRHR1	corticotropin releasing hormone receptor 1	Corticotropin releasing hormone receptors
1395	CRHR2	corticotropin releasing hormone receptor 2	Corticotropin releasing hormone receptors
51232	CRIM1	cysteine rich transmembrane BMP regulator 1	Cysteine rich transmembrane BMP regulators
1396	CRIP1	cysteine rich protein 1	LIM domain containing
1397	CRIP2	cysteine rich protein 2	LIM domain containing
401262	CRIP3	cysteine rich protein 3	LIM domain containing
9419	CRIPT	CXXC repeat containing interactor of PDZ3 domain	
6997	CRIPTO	cripto, EGF-CFC family member	
6998	CRIPTO3	cripto, EGF-CFC family member 3	
167	CRISP1	cysteine rich secretory protein 1	Cysteine rich secretory protein family
7180	CRISP2	cysteine rich secretory protein 2	Cysteine rich secretory protein family
10321	CRISP3	cysteine rich secretory protein 3	Cysteine rich secretory protein family
83690	CRISPLD1	cysteine rich secretory protein LCCL domain containing 1	
83716	CRISPLD2	cysteine rich secretory protein LCCL domain containing 2	
1398	CRK	CRK proto-oncogene, adaptor protein	SH2 domain containing
1399	CRKL	CRK like proto-oncogene, adaptor protein	SH2 domain containing
9244	CRLF1	cytokine receptor like factor 1	Fibronectin type III domain containing
64109	CRLF2	cytokine receptor like factor 2	Fibronectin type III domain containing, Pseudoautosomal region 1
51379	CRLF3	cytokine receptor like factor 3	Fibronectin type III domain containing
54675	CRLS1	cardiolipin synthase 1	
1400	CRMP1	collapsin response mediator protein 1	M38 metallopeptidases
51340	CRNKL1	crooked neck pre-mRNA splicing factor 1	Spliceosomal P complex, Spliceosomal C complex, Spliceosomal Bact complex, Spliceosomal B complex
49860	CRNN	cornulin	EF-hand domain containing, S100 fused type protein family
9696	CROCC	ciliary rootlet coiled-coil, rootletin	
728763	CROCC2	ciliary rootlet coiled-coil, rootletin family member 2	
54677	CROT	carnitine O-octanoyltransferase	
1401	CRP	C-reactive protein	Short pentraxins
729920	CRPPA	CDP-L-ribitol pyrophosphorylase A	
55118	CRTAC1	cartilage acidic protein 1	
56253	CRTAM	cytotoxic and regulatory T cell molecule	C2-set domain containing, Nectins and nectin-like molecules, CD molecules, V-set domain containing
10491	CRTAP	cartilage associated protein	Prolyl 3-hydroxylase family
23373	CRTC1	CREB regulated transcription coactivator 1	
200186	CRTC2	CREB regulated transcription coactivator 2	
64784	CRTC3	CREB regulated transcription coactivator 3	
1406	CRX	cone-rod homeobox	PRD class homeoboxes and pseudogenes
1407	CRY1	cryptochrome circadian regulator 1	Flavoproteins
1408	CRY2	cryptochrome circadian regulator 2	Flavoproteins
1409	CRYAA	crystallin alpha A	Small heat shock proteins
1410	CRYAB	crystallin alpha B	Small heat shock proteins
1411	CRYBA1	crystallin beta A1	Beta-gamma crystallins
1412	CRYBA2	crystallin beta A2	Beta-gamma crystallins
1413	CRYBA4	crystallin beta A4	Beta-gamma crystallins
1414	CRYBB1	crystallin beta B1	Beta-gamma crystallins
1415	CRYBB2	crystallin beta B2	Beta-gamma crystallins
1417	CRYBB3	crystallin beta B3	Beta-gamma crystallins
202	CRYBG1	crystallin beta-gamma domain containing 1	Beta-gamma crystallin domain containing
55057	CRYBG2	crystallin beta-gamma domain containing 2	Beta-gamma crystallin domain containing
131544	CRYBG3	crystallin beta-gamma domain containing 3	Beta-gamma crystallin domain containing
1418	CRYGA	crystallin gamma A	Beta-gamma crystallins
1419	CRYGB	crystallin gamma B	Beta-gamma crystallins
1420	CRYGC	crystallin gamma C	Beta-gamma crystallins
1421	CRYGD	crystallin gamma D	Beta-gamma crystallins
155051	CRYGN	crystallin gamma N	Beta-gamma crystallins, MicroRNA protein coding host genes
1427	CRYGS	crystallin gamma S	Beta-gamma crystallins
51084	CRYL1	crystallin lambda 1	MicroRNA protein coding host genes
1428	CRYM	crystallin mu	
1429	CRYZ	crystallin zeta	
9946	CRYZL1	crystallin zeta like 1	FERRY complex subunits
1431	CS	citrate synthase	
51380	CSAD	cysteine sulfinic acid decarboxylase	
158511	CSAG1	chondrosarcoma associated gene 1	CSAG family
102723547	CSAG2	CSAG family member 2	Proteins encoded by multiple genes, CSAG family
389903	CSAG3	CSAG family member 3	Proteins encoded by multiple genes, CSAG family
27254	CSDC2	cold shock domain containing C2	
7812	CSDE1	cold shock domain containing E1	
1434	CSE1L	chromosome segregation 1 like	Exportins
1435	CSF1	colony stimulating factor 1	
1436	CSF1R	colony stimulating factor 1 receptor	Immunoglobulin like domain containing, CD molecules, Receptor tyrosine kinases
1437	CSF2	colony stimulating factor 2	
1438	CSF2RA	colony stimulating factor 2 receptor subunit alpha	CD molecules, Pseudoautosomal region 1
1439	CSF2RB	colony stimulating factor 2 receptor subunit beta	CD molecules, Fibronectin type III domain containing
1440	CSF3	colony stimulating factor 3	Receptor ligands
1441	CSF3R	colony stimulating factor 3 receptor	CD molecules, Fibronectin type III domain containing
55790	CSGALNACT1	chondroitin sulfate N-acetylgalactosaminyltransferase 1	Beta 4-glycosyltransferases
55454	CSGALNACT2	chondroitin sulfate N-acetylgalactosaminyltransferase 2	Beta 4-glycosyltransferases
1442	CSH1	chorionic somatomammotropin hormone 1	Growth hormone family
1443	CSH2	chorionic somatomammotropin hormone 2	Growth hormone family
1444	CSHL1	chorionic somatomammotropin hormone like 1	Growth hormone family
1445	CSK	C-terminal Src kinase	SH2 domain containing, Csk family tyrosine kinases
751071	CSKMT	citrate synthase lysine methyltransferase	7BS protein lysine methyltransferases, Small nucleolar RNA protein coding host genes
64478	CSMD1	CUB and Sushi multiple domains 1	Sushi domain containing, Complement system regulators and receptors, Protein phosphatase 1 regulatory subunits
114784	CSMD2	CUB and Sushi multiple domains 2	Sushi domain containing, Complement system regulators and receptors
114788	CSMD3	CUB and Sushi multiple domains 3	Sushi domain containing, Complement system regulators and receptors
1446	CSN1S1	casein alpha s1	Secretory calcium-binding phosphoprotein family
1447	CSN2	casein beta	Secretory calcium-binding phosphoprotein family
1448	CSN3	casein kappa	Secretory calcium-binding phosphoprotein family
1452	CSNK1A1	casein kinase 1 alpha 1	casein kinase 1 family
122011	CSNK1A1L	casein kinase 1 alpha 1 like	casein kinase 1 family
1453	CSNK1D	casein kinase 1 delta	casein kinase 1 family
1454	CSNK1E	casein kinase 1 epsilon	casein kinase 1 family
53944	CSNK1G1	casein kinase 1 gamma 1	casein kinase 1 family
1455	CSNK1G2	casein kinase 1 gamma 2	casein kinase 1 family
1456	CSNK1G3	casein kinase 1 gamma 3	casein kinase 1 family
1457	CSNK2A1	casein kinase 2 alpha 1	
1459	CSNK2A2	casein kinase 2 alpha 2	
283106	CSNK2A3	casein kinase 2 alpha 3	
1460	CSNK2B	casein kinase 2 beta	
111064647	CSNKA2IP	casein kinase 2 subunit alpha' interacting protein	
1464	CSPG4	chondroitin sulfate proteoglycan 4	Proteoglycans
10675	CSPG5	chondroitin sulfate proteoglycan 5	
79848	CSPP1	centrosome and spindle pole associated protein 1	
64651	CSRNP1	cysteine and serine rich nuclear protein 1	
81566	CSRNP2	cysteine and serine rich nuclear protein 2	Protein phosphatase 1 regulatory subunits
80034	CSRNP3	cysteine and serine rich nuclear protein 3	Protein phosphatase 1 regulatory subunits
1465	CSRP1	cysteine and glycine rich protein 1	LIM domain containing
1466	CSRP2	cysteine and glycine rich protein 2	LIM domain containing
8048	CSRP3	cysteine and glycine rich protein 3	LIM domain containing
1469	CST1	cystatin SN	Cystatins, type 2
1470	CST2	cystatin SA	Cystatins, type 2
1471	CST3	cystatin C	Cystatins, type 2
1472	CST4	cystatin S	Cystatins, type 2
1473	CST5	cystatin D	Cystatins, type 2
1474	CST6	cystatin E/M	Cystatins, type 2
8530	CST7	cystatin F	Cystatins, type 2
10047	CST8	cystatin 8	Cystatins, type 2
128822	CST9	cystatin 9	Cystatins, type 2
128821	CST9L	cystatin 9 like	Cystatins, type 2
140880	CST11	cystatin 11	Cystatins, type 2
1475	CSTA	cystatin A	Cystatins, type 1
1476	CSTB	cystatin B	Cystatins, type 1
1477	CSTF1	cleavage stimulation factor subunit 1	WD repeat domain containing, Cleavage stimulation factor subunits
1478	CSTF2	cleavage stimulation factor subunit 2	RNA binding motif containing, Cleavage stimulation factor subunits
23283	CSTF2T	cleavage stimulation factor subunit 2 tau variant	RNA binding motif containing, Cleavage stimulation factor subunits
1479	CSTF3	cleavage stimulation factor subunit 3	Cleavage stimulation factor subunits
128817	CSTL1	cystatin like 1	Cystatins, type 2
79096	CSTPP1	centriolar satellite-associated tubulin polyglutamylase complex regulator 1	
541466	CT45A1	cancer/testis antigen family 45 member A1	CT antigen family 45
728911	CT45A2	cancer/testis antigen family 45 member A2	CT antigen family 45
441519	CT45A3	cancer/testis antigen family 45 member A3	CT antigen family 45
441521	CT45A5	cancer/testis antigen family 45 member A5	CT antigen family 45
541465	CT45A6	cancer/testis antigen family 45 member A6	CT antigen family 45
101060211	CT45A7	cancer/testis antigen family 45 member A7	CT antigen family 45
102723737	CT45A8	cancer/testis antigen family 45 member A8	CT antigen family 45
102723680	CT45A9	cancer/testis antigen family 45 member A9	CT antigen family 45
102723631	CT45A10	cancer/testis antigen family 45 member A10	CT antigen family 45
728096	CT47A1	cancer/testis antigen family 47 member A1	Proteins encoded by multiple genes, CT antigen family 47
728090	CT47A2	cancer/testis antigen family 47 member A2	Proteins encoded by multiple genes, CT antigen family 47
728082	CT47A3	cancer/testis antigen family 47 member A3	Proteins encoded by multiple genes, CT antigen family 47
728075	CT47A4	cancer/testis antigen family 47 member A4	Proteins encoded by multiple genes, CT antigen family 47
728072	CT47A5	cancer/testis antigen family 47 member A5	Proteins encoded by multiple genes, CT antigen family 47
728062	CT47A6	cancer/testis antigen family 47 member A6	Proteins encoded by multiple genes, CT antigen family 47
653282	CT47A7	cancer/testis antigen family 47 member A7	Proteins encoded by multiple genes, CT antigen family 47
728049	CT47A8	cancer/testis antigen family 47 member A8	Proteins encoded by multiple genes, CT antigen family 47
728042	CT47A9	cancer/testis antigen family 47 member A9	Proteins encoded by multiple genes, CT antigen family 47
728036	CT47A10	cancer/testis antigen family 47 member A10	Proteins encoded by multiple genes, CT antigen family 47
255313	CT47A11	cancer/testis antigen family 47 member A11	Proteins encoded by multiple genes, CT antigen family 47
100507170	CT47A12	cancer/testis antigen family 47 member A12	Proteins encoded by multiple genes, CT antigen family 47
643311	CT47B1	cancer/testis antigen family 47 member B1	CT antigen family 47
727838	CT47C1	cancer/testis antigen family 47 member C1	CT antigen family 47
54967	CT55	cancer/testis antigen 55	
203413	CT83	cancer/testis antigen 83	
246100	CTAG1A	cancer/testis antigen 1A	Proteins encoded by multiple genes
1485	CTAG1B	cancer/testis antigen 1B	Proteins encoded by multiple genes
30848	CTAG2	cancer/testis antigen 2	
64693	CTAGE1	cutaneous T cell lymphoma-associated antigen 1	CTAGE family
100128553	CTAGE4	CTAGE family member 4	CTAGE family
340307	CTAGE6	CTAGE family member 6	CTAGE family
100142659	CTAGE8	CTAGE family member 8	CTAGE family
643854	CTAGE9	CTAGE family member 9	CTAGE family
441294	CTAGE15	CTAGE family member 15	CTAGE family
1487	CTBP1	C-terminal binding protein 1	
1488	CTBP2	C-terminal binding protein 2	MicroRNA protein coding host genes
1486	CTBS	chitobiase	Chitinases
80169	CTC1	CST telomere replication complex component 1	CST complex
10664	CTCF	CCCTC-binding factor	Cilia and flagella associated, Zinc fingers C2H2-type
140690	CTCFL	CCCTC-binding factor like	Zinc fingers C2H2-type
23399	CTDNEP1	CTD nuclear envelope phosphatase 1	CTD family phosphatases
9150	CTDP1	CTD phosphatase subunit 1	CTD family phosphatases
58190	CTDSP1	CTD small phosphatase 1	CTD family phosphatases, MicroRNA protein coding host genes
10106	CTDSP2	CTD small phosphatase 2	CTD family phosphatases, MicroRNA protein coding host genes
10217	CTDSPL	CTD small phosphatase like	CTD family phosphatases, MicroRNA protein coding host genes
51496	CTDSPL2	CTD small phosphatase like 2	CTD family phosphatases
1489	CTF1	cardiotrophin 1	Interleukin 6 type cytokine family
1491	CTH	cystathionine gamma-lyase	
115908	CTHRC1	collagen triple helix repeat containing 1	
9811	CTIF	cap binding complex dependent translation initiation factor	MicroRNA protein coding host genes, MIF4G domain containing proteins
1493	CTLA4	cytotoxic T-lymphocyte associated protein 4	CD molecules, V-set domain containing
1495	CTNNA1	catenin alpha 1	Alpha catenins
1496	CTNNA2	catenin alpha 2	Alpha catenins
29119	CTNNA3	catenin alpha 3	MicroRNA protein coding host genes, Alpha catenins
8727	CTNNAL1	catenin alpha like 1	
1499	CTNNB1	catenin beta 1	Armadillo repeat containing, Beta catenins, Wnt enhanceosome complex
56998	CTNNBIP1	catenin beta interacting protein 1	
56259	CTNNBL1	catenin beta like 1	Armadillo like helical domain containing, Spliceosomal C complex, NineTeen complex
1500	CTNND1	catenin delta 1	Armadillo repeat containing, p120 catenin family
1501	CTNND2	catenin delta 2	Armadillo repeat containing, p120 catenin family
1497	CTNS	cystinosin, lysosomal cystine transporter	Solute carrier family 66
1503	CTPS1	CTP synthase 1	Glutamine amidotransferase class 1 domain containing
56474	CTPS2	CTP synthase 2	Glutamine amidotransferase class 1 domain containing, MicroRNA protein coding host genes
9646	CTR9	CTR9 homolog, Paf1/RNA polymerase II complex component	Paf1/RNA polymerase II complex , Tetratricopeptide repeat domain containing
1504	CTRB1	chymotrypsinogen B1	Chymotrypsins
440387	CTRB2	chymotrypsinogen B2	Chymotrypsins
11330	CTRC	chymotrypsin C	Chymotrypsins
1506	CTRL	chymotrypsin like	Chymotrypsins
5476	CTSA	cathepsin A	Cathepsins
1508	CTSB	cathepsin B	Cathepsins
1075	CTSC	cathepsin C	Cathepsins
1509	CTSD	cathepsin D	Peptidase family A1, Cathepsins
1510	CTSE	cathepsin E	Peptidase family A1, Cathepsins
8722	CTSF	cathepsin F	Cathepsins
1511	CTSG	cathepsin G	Cathepsins, Receptor ligands, Granule associated serine proteases of immune defence
1512	CTSH	cathepsin H	Cathepsins, Minor histocompatibility antigens
1513	CTSK	cathepsin K	Cathepsins
1514	CTSL	cathepsin L	Cathepsins
1519	CTSO	cathepsin O	Cathepsins
1520	CTSS	cathepsin S	Cathepsins
1515	CTSV	cathepsin V	Cathepsins
1521	CTSW	cathepsin W	Cathepsins
1522	CTSZ	cathepsin Z	Cathepsins
2017	CTTN	cortactin	
83992	CTTNBP2	cortactin binding protein 2	Ankyrin repeat domain containing, STRIPAK complex
55917	CTTNBP2NL	CTTNBP2 N-terminal like	STRIPAK complex
90353	CTU1	cytosolic thiouridylase subunit 1	
348180	CTU2	cytosolic thiouridylase subunit 2	
404217	CTXN1	cortexin 1	
399697	CTXN2	cortexin 2	
613212	CTXN3	cortexin 3	
100996492	CTXND1	cortexin domain containing 1	
100996521	CTXND2	cortexin domain containing 2	
8029	CUBN	cubilin	
404093	CUEDC1	CUE domain containing 1	
79004	CUEDC2	CUE domain containing 2	
8454	CUL1	cullin 1	Cullins, SCF complex core subunits
8453	CUL2	cullin 2	Cullins, MicroRNA protein coding host genes
8452	CUL3	cullin 3	Cullins
8451	CUL4A	cullin 4A	Cullins, MicroRNA protein coding host genes
8450	CUL4B	cullin 4B	Cullins
8065	CUL5	cullin 5	Cullins
9820	CUL7	cullin 7	Cullins
23113	CUL9	cullin 9	RBR E3 ubiquitin ligases, Cullins, Armadillo like helical domain containing
51596	CUTA	cutA divalent cation tolerance homolog	
51076	CUTC	cutC copper transporter	
1523	CUX1	cut like homeobox 1	CUT class homeoboxes and pseudogenes, Golgins
23316	CUX2	cut like homeobox 2	CUT class homeoboxes and pseudogenes, MicroRNA protein coding host genes
50624	CUZD1	CUB and zona pellucida like domains 1	
51503	CWC15	CWC15 spliceosome associated protein homolog	NTC associated proteins, Spliceosomal C complex, NineTeen complex
57703	CWC22	CWC22 spliceosome associated protein homolog	NTC associated proteins, Spliceosomal C complex, Spliceosomal P complex, MIF4G domain containing proteins, Spliceosomal Bact complex
54883	CWC25	CWC25 spliceosome associated protein homolog	NTC associated proteins, Spliceosomal Bact complex
10283	CWC27	CWC27 spliceosome associated cyclophilin	NTC associated proteins, Spliceosomal C complex, Spliceosomal P complex, Cyclophilin peptidylprolyl isomerases, Spliceosomal Bact complex
55280	CWF19L1	CWF19 like cell cycle control factor 1	Small nucleolar RNA protein coding host genes
143884	CWF19L2	CWF19 like cell cycle control factor 2	
80157	CWH43	cell wall biogenesis 43 C-terminal homolog	
6376	CX3CL1	C-X3-C motif chemokine ligand 1	Chemokine ligands
1524	CX3CR1	C-X3-C motif chemokine receptor 1	C-X-3-C motif chemokine receptors
1525	CXADR	CXADR Ig-like cell adhesion molecule	IgCAM CXADR-related subfamily, V-set domain containing
2919	CXCL1	C-X-C motif chemokine ligand 1	Chemokine ligands
2920	CXCL2	C-X-C motif chemokine ligand 2	Chemokine ligands
2921	CXCL3	C-X-C motif chemokine ligand 3	Chemokine ligands
6374	CXCL5	C-X-C motif chemokine ligand 5	Chemokine ligands
6372	CXCL6	C-X-C motif chemokine ligand 6	Chemokine ligands
3576	CXCL8	C-X-C motif chemokine ligand 8	Chemokine ligands, Interleukins
4283	CXCL9	C-X-C motif chemokine ligand 9	Chemokine ligands
3627	CXCL10	C-X-C motif chemokine ligand 10	Chemokine ligands
6373	CXCL11	C-X-C motif chemokine ligand 11	Chemokine ligands
6387	CXCL12	C-X-C motif chemokine ligand 12	Chemokine ligands
